#Device ID ; Time (us) ; Current (mA) ; Voltage (V) ; PC ; Function Name ; File Name ; Line number
000440245691; 30199301; 0.001020449; 3.3225732; -1; ; ; 0
000440245691; 30209301; 0.0013109478; 3.3217657; -1; ; ; 0
000440245691; 30219301; 0.0012052213; 3.3217657; -1; ; ; 0
000440245691; 30229301; 0.0011858494; 3.3274183; -1; ; ; 0
000440245691; 30239301; 0.0013057867; 3.3274183; -1; ; ; 0
000440245691; 30249301; 0.00129875; 3.3274183; -1; ; ; 0
000440245691; 30259301; 0.0012491758; 3.327149; -1; ; ; 0
000440245691; 30269301; 0.0013056495; 3.327149; -1; ; ; 0
000440245691; 30279301; 0.0014834307; 3.3220348; -1; ; ; 0
000440245691; 30289301; 0.0010519321; 3.3220348; -1; ; ; 0
000440245691; 30299301; 9.396251E-4; 3.3220348; -1; ; ; 0
000440245691; 30309301; 0.00153497; 3.325265; -1; ; ; 0
000440245691; 30319301; 9.001493E-4; 3.325265; -1; ; ; 0
000440245691; 30329301; 6.9792365E-4; 3.3260727; -1; ; ; 0
000440245691; 30339301; 0.0014007783; 3.3260727; -1; ; ; 0
000440245691; 30349301; 8.4024935E-4; 3.3260727; -1; ; ; 0
000440245691; 30359301; 8.656532E-4; 3.3244576; -1; ; ; 0
000440245691; 30369301; 0.001911367; 3.3244576; -1; ; ; 0
000440245691; 30379301; 0.0016950236; 3.3244576; -1; ; ; 0
000440245691; 30389301; 9.0471836E-4; 3.3212276; -1; ; ; 0
000440245691; 30399301; 9.7001E-4; 3.3212276; -1; ; ; 0
000440245691; 30409301; 0.001242004; 3.3217657; -1; ; ; 0
000440245691; 30419301; 0.0011698591; 3.3217657; -1; ; ; 0
000440245691; 30429301; 0.0013827767; 3.3217657; -1; ; ; 0
000440245691; 30439301; 0.0014988754; 3.3266108; -1; ; ; 0
000440245691; 30449301; 0.001469405; 3.3266108; -1; ; ; 0
000440245691; 30459301; 0.0010765598; 3.32688; -1; ; ; 0
000440245691; 30469301; 9.049008E-4; 3.32688; -1; ; ; 0
000440245691; 30479301; 0.0011742458; 3.32688; -1; ; ; 0
000440245691; 30489301; 0.0016119583; 3.32365; -1; ; ; 0
000440245691; 30499301; 0.0016819559; 3.32365; -1; ; ; 0
000440245691; 30509301; 9.864586E-4; 3.325265; -1; ; ; 0
000440245691; 30519301; 0.0013293641; 3.325265; -1; ; ; 0
000440245691; 30529301; 0.0019300538; 3.325265; -1; ; ; 0
000440245691; 30539301; 0.0013495589; 3.3220348; -1; ; ; 0
000440245691; 30549301; 0.0012351956; 3.3220348; -1; ; ; 0
000440245691; 30559301; 0.0015355636; 3.3279567; -1; ; ; 0
000440245691; 30569301; 0.0010847831; 3.3279567; -1; ; ; 0
000440245691; 30579301; 9.2920795E-4; 3.3279567; -1; ; ; 0
